;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Laing's Nek;28 January 1881;United Kingdom of Great Britain and Ireland;George Pomeroy Colley;Laing's Nek, Drakensberg mountains, South Africa27°27′39″S 29°52′10″E﻿ / ﻿27.46083°S 29.86944°ECoordinates: 27°27′39″S 29°52′10″E﻿ / ﻿27.46083°S 29.86944°E;Boer victory;Piet Joubert;84 killed	113 wounded	2 captured	Total:	199;1,216;14 killed	27 wounded	Total:	41;2,000;South African Republic
Battle of Schuinshoogte;8 February 1881;South African Republic;Nicolaas Smit	J D Weilbach;Ingogo, Natal;Decisive Boer victory;George Pomeroy Colley;8 killed	10 wounded;300–500 infantry;69 killed	77 wounded;240 infantry	38 cavalry	2 cannon;United Kingdom of Great Britain and Ireland
Battle of Majuba Hill;27 February 1881;South African Republic;Nicolaas Smit	Stephanus Roos	Danie Malan	Joachim Ferreira;Majuba Hill, near Volksrust,Kwazulu-Natal, South Africa27°28′36″S 29°51′02″E﻿ / ﻿27.4768°S 29.8505°ECoordinates: 27°28′36″S 29°51′02″E﻿ / ﻿27.4768°S 29.8505°E;Decisive Boer victory;George Pomeroy Colley;1 killed	5 wounded;400-500 men;92 killed	134 wounded	59 captured;405 infantry;British Empire
Battle of Cibecue Creek;August 30, 1881;United States;Eugene Asa Carr;Cibecue Creek, Fort Apache Indian Reservation, Arizona Territory;Apache strategic victory, United States tactical victory.;Nock-ay-det-klinne;8 killed	2 wounded;86 cavalry;18 killed[1];~125 warriors;Apache
Battle of Embabo;6 June 1882;Shewa;Negus	Menelik II	Gobana Dacche;Embabo, Ethiopia;Shewan victory;Negus	Tekle Haymanot of Gojjam	Ras Bezabeh	Ras Darasu;913 killed and 1,648 wounded;;929 killed and 1738 wounded, 4000 prisoners, 6 cannons captured[1];;Gojjam
Battle of Big Dry Wash;July 17, 1882;Western Apache people;Na-tio-tish;Coconino County, Arizona Territory;United States victory;Adna Chaffee;20 killed;~60 warriors;2 killed	6 wounded;350 cavalry;United States
Battle of Tel al-Kebir;13 September 1882;United Kingdom of Great Britain and Ireland;Garnet Wolseley, 1st Viscount Wolseley;near Kassassin, Canal Zone, Egypt;British victory;Ahmed ʻUrabi	Mahmoud Fehmy;57 killed	380 wounded	22 missing[2];13,000 troops	60 guns[1];1,396 killed	681 wounded;15,000 troops	60 guns;Khedivate of Egypt
Battle of Cầu Giấy (Paper Bridge);19 May 1883;French Third Republic;Henri Rivière (naval officer)	Berthe de Villers;Cầu Giấy, near Hanoi, northern Vietnam (now part of urban Hanoi);Black Flag victory;Liu Yongfu;35 dead, 52 wounded	3 Guns Captured;550 men (marine infantry, sailors and artillery);50 dead, 56 wounded;around 3,000 Black Flag soldiers;Black Flag Army
Battle of El Obeid;3–5 November 1883;Khedivate of Egypt	United Kingdom of Great Britain and Ireland;William Hicks (Indian Army officer);Woods of Shaykan near Kashgil, 220 miles southwest of Khartoum, in the Kordofan province, Sudan;Mahdist victory;Muhammad Ahmad;7,000 killed	unknown wounded,	~2,000 captured;10,000 infantry,	1,000 cavalry,	100 warriors,	14 artillery pieces,	6 machine guns;Unknown;~40,000 warriors;Mahdist State
Battles of El Teb;4–29 February 1884;Mahdist State;Osman Digna;El Teb, 9 miles (14 km) southwest of Trinkitat;February 4: Mahdist victoryFebruary 29: Decisive British victory;Valentine Baker	Sir	Gerald Graham;February 4:	unknown	February 29:	2,000 killed	unknown wounded;February 4:	1,000 warriors	February 29:	10,000 warriors	unknown artillery;February 4:	~2,700 killed or captured	February 29:	30 killed	142 wounded;February 4:	3,500 Egyptian infantry	February 29:	4,500 British infantry and cavalry	22 artillery pieces	6 machine guns;United Kingdom of Great Britain and Ireland	Khedivate of Egypt
Battle of Tamai;13 March 1884;United Kingdom of Great Britain and Ireland;Gerald Graham;Tamai, near Suakin, Eastern Sudan;British victory;Osman Digna;214 killed or wounded;4,500 troops	22 field guns	6 machine-guns;4,000 killed or wounded;10,000 troops;Mahdist State
Battle of Fuzhou;23-26 August 1884;Qing dynasty;Zhang Peilun;Mawei Harbour, Fuzhou, China;Decisive French victory;Amédée Courbet;796 killed	150 wounded	51 missing	9 ships sunk	10+ ships damaged;22 ships	(11 Western-style ships, the rest Chinese Junks);10 killed	48 wounded	2 ships damaged;13 ships;French Third Republic
Battle of Tamsui;2–8 October 1884;French Third Republic	Far East Squadron;Sébastien Lespès;northern coast of Taiwan;Chinese victory[1];Sun Kaihua	Zhang Gaoyuan	Liu Chaoyou	Tio Li-xieng;17 killed	49 wounded;6 ships	600 marines;80 killed	200 wounded;1,000	(with artillery batteries);Qing dynasty
Siege of Tuyên Quang;24 November 1884 – 3 March 1885;French Third Republic;Marc-Edmond Dominé;Tuyen Quang, Northern Vietnam;French victory;Tang Jingsong	Liu Yongfu;50 dead	224 wounded;630;1,000 dead	2,000 wounded;12,000;Qing dynasty	Black Flag Army
Battle of Khartoum;13 March 1884 – 26 January 1885;British Empire	Khedivate of Egypt;Charles George Gordon;Khartoum, Mahdist Sudan;Mahdist victory;Muhammad Ahmad;Almost entire force destroyed;Land:	7,000	cavalry	infantry	unknown artillery	Sea:	9 gunboats;unknown, but reportedly heavy;Land:	50,000 warriors,	unknown artillery	Sea:	unknown skiffs;Mahdist State
Battle of Hòa Mộc;2 March 1885;French Third Republic;Laurent Giovanninelli;near Tuyên Quang, northern Vietnam;French victory;Liu Yongfu;76 dead	408 wounded;3,400 men;1,000 killed	2,000 injured;6,000 men;Qing dynasty	Black Flag Army
Battle of Bang Bo (Zhennan Pass);24 March 1885;French Third Republic;Oscar de Négrier;north of Lạng Sơn, Vietnam;Major Chinese victory[1];Pan Dingxin	Feng Zicai	Wang Debang	王德榜 - 维基百科，自由的百科全书	王孝祺 - 维基百科，自由的百科全书	蘇元春 - 维基百科，自由的百科全书	陈嘉 - 维基百科，自由的百科全书	蔣宗汉 - 维基百科，自由的百科全书	魏刚 - 维基百科，自由的百科全书;74 killed	213 wounded[7];1,500 men	10 guns;1,650 killed and wounded [7];Chinese claim:	8,000 in total:	4,000 men of the Black Flags	4,000 for government troops	French claim:	40,000 men;Qing dynasty	Black Flag Army
Battle of Duck Lake;March 26, 1885;Provisional Government of Saskatchewan	Métis;Gabriel Dumont (Métis leader);Duck Lake, south of Prince Albert, Saskatchewan;Métis victory;Leif Newry Fitzroy Crozier;5–6 dead[1][2]	3 wounded[1];200–250[1];12 dead[1][3]	12 wounded[1][3];95[1];Canada
Battle of Fort Pitt;April 15, 1885;Cree;Big Bear;Frenchman Butte No. 501, near Frenchman Butte, Saskatchewan;Cree victory;Francis Dickens;0-4 dead[1][2];200-250[1][2];1 dead[1]	1 wounded[1];22 militia[2];Canada
Battle of Cut Knife;May 2, 1885;Cree	Assiniboine;Poundmaker	Fine-Day;Near Battleford, Saskatchewan;Cree–Assiniboine victory;William Dillon Otter;5 dead	3 wounded;50[1] to 250[2];8 dead[3]	14 wounded[3];350;Canada
Battle of Batoche;May 9–12, 1885;Provisional Government of Saskatchewan	Métis;Gabriel Dumont (Métis leader)	Louis Riel;Batoche, Saskatchewan;Decisive Canadian victory Collapse of the Provisional Government of Saskatchewan;Wikimedia Error	Bowen van Straubenzee;16 dead[1][2][3]	30 wounded[1][2];250 (Métis) rebels;8 dead[1]	46 wounded[1];916 regulars and militia;Canada
Battle of Devil's Creek;May 22, 1885;United States;James Parker (Medal of Honor)	Charles B. Gatewood;near Alma, New Mexico;United States victory;Geronimo;3 wounded;unknown;unknown;~25 warriors;Apache
Battle of Frenchman's Butte;May 28, 1885;Cree;Wandering Spirit (Cree leader);53°37′38″N 109°34′33″W﻿ / ﻿53.62722°N 109.57583°WCoordinates: 53°37′38″N 109°34′33″W﻿ / ﻿53.62722°N 109.57583°WFrenchman's Butte, Saskatchewan;Cree victory;Wikimedia Error;;200;;400;Canada
Battle of Slivnitsa;17 November 1885 – 19 November 1885;History of Bulgaria (1878–1946);Alexander of Battenberg;Slivnitsa, Bulgaria;Decisive Bulgarian victory;Milan I of Serbia;1,800;"12,000 in the beginning; 32,000 by 17 November";2,100;"25,000 in the beginning; 40,000 by 17 November";Kingdom of Serbia
Battle of Pirot;26–27 November 1885[a];Principality of Bulgaria;Lieutenant colonel	Danail Nikolaev;Pirot, Kingdom of Serbia;Bulgarian victory;Milan I of Serbia;1,050 killed and wounded;42,000	80 guns;700 killed	560 wounded;65,000	84 guns;Kingdom of Serbia
Battle of Little Dry Creek;December 19, 1885;United States;United States	Samuel W. Fountain;near Pleasanton, Little Dry Creek, New Mexico;Successful Apache ambush;Josanie;5 killed	2 wounded;20 cavalry	10 native scouts;none;10 warriors;Apache
Battle of Dogali;26 January 1887;Kingdom of Italy;Wikimedia Error;Dogali, near Massawa, Eritrea;Ethiopian victory;Ethiopian Empire	Wikimedia Error	Wikimedia Error;430 killed[2]	80 wounded[2];~550 infantry;1,071 killed[3];15,000[1];Ethiopian Empire
Wounded Knee Massacre;December 29, 1890;United States;James W. Forsyth;Wounded Knee Creek, South Dakota;(See the Fight and ensuing massacre section);Spotted Elk;25 killed,	39 wounded (6 fatally);490 effectives:	7th U.S. Cavalry:	438 troopers[1]	22 artillerymen with four 1.65–inch guns	30 Oglala Indian scouts;250–300 killed:	90 men killed	200 women and children killed[3][4]	51 wounded (7 fatally)	Native American losses include civilian casualties;120 men[2];Miniconjou	Lakota people	Hunkpapa	Lakota people
Battle of Mulayda;24 January 1891;Emirate of Jabal Shammar	Shammar	Harb (tribe)	Al-Dhafeer	Al-Muntafiq;Muhammed ibn Rashid;Qassim region, (in today's Saudi Arabia);Rashidi victoryEnd of Second Saudi State;Wikimedia Error	Zamil ibn Sulaym;Unknown;27,000;Unknown;24,000;Emirate of Nejd	Wikimedia Error	Mutayr	Otaibah
Battle of Bembesi;1 November 1893;United Kingdom	British South Africa Company;Patrick William Forbes;Bembezi, Southern Rhodesia;Decisive BSAC victory;Lobengula;Unknown;;2,500 Ndebele;;Mthwakazi
Battle of Yalu River (1894);17 September 1894;Qing dynasty;Ding Ruchang	Liu Buchan;Korea Bay, near the mouth of the Yalu River;Decisive Japanese victory;Itō Sukeyuki	Tsuboi Kōzō;850 killed	500 wounded	5 ships sunk	3 ships damaged;2 battleships	1 coastal defense ship	8 cruisers	2 corvettes	2 torpedo boats;180 killed	200 wounded	4 ships severely damaged	2 ships lightly damaged[1];9 protected cruisers	1 corvette	1 gunboat	1 auxiliary cruiser;Empire of Japan
Battle of Amba Alagi (1895);7 December 1895;Kingdom of Italy;Oreste Baratieri;Amba Alagi, Ethiopia;Ethiopian victory;Ethiopian Empire	Makonnen Wolde Mikael	Ethiopian Empire	Welle Betul	Ethiopian Empire	Ras Mengesha Yohannes;"1,300 Eritrean Askari; 20 Italians";2,350 Eritrean Askari and 2,000 Italians;Unknown;30,000;Ethiopian Empire
Battle of Mek'ele;8-19 January 1896;Kingdom of Italy;Giuseppe Galliano;Mek'ele, Ethiopia;Ethiopian victory;Makonnen Wolde Mikael;;1,183	1,000 Askari and 183 Italians;costly assaults [1];Approximately 27,000;Ethiopian Empire
Battle of Adowa;1 March 1896;Ethiopian Empire	Russian Empire	French Third Republic;Ethiopian Empire	Menelik II	Tekle Haymanot of Gojjam	Makonnen Wolde Mikael	Mikael of Wollo	Ras Alula	Taytu Betul	Ras Mengesha Yohannes	Fit'awrari Gebeyehu Goraw	Ethiopian aristocratic and court titles	Habte Giyorgis Dinagde	Fitawrari Damtew	Ethiopian aristocratic and court titles	Balcha Safo	Nikolay Leontiev;Coordinates: 14°1′8″N 38°58′24″E﻿ / ﻿14.01889°N 38.97333°EAdwa, Ethiopia;Ethiopian victory;Oreste Baratieri	Vittorio Dabormida	Wikimedia Error	Matteo Albertone	Wikimedia Error	Wikimedia Error;3,867 killed[14]	~8,000 wounded[15];80,000 armed with rifles[7][nb 1]	20,000 armed with spears and swords[7]	8,600 horses[7]	42 artillery pieces[9];6,394 killed[11][12]	1,428 wounded[11]	~3,000 captured[15]	(^ including wounded)[9];10,443 Italian soldiers plus 4,076 Eritrean askaris. Total 14,519. [10] [11][12]	56 light mountain artillery pieces[11] and rifles of an obsolete pattern[13][9];Kingdom of Italy	Italian Eritrea
Battle of Binakayan-Dalahican;November 9–11, 1896;Katipunan	Magdalo (Katipunan faction)	Magdiwang (Katipunan faction);Emilio Aguinaldo	Santiago Álvarez (general)	Pío del Pilar	Críspulo Aguinaldo	Baldomero Aguinaldo	Artemio Ricarte	Wikimedia Error	Edilberto Evangelista;Northern Cavite province, Spanish East Indies (now Philippines)Major fighting: Noveleta, and Cavite el Viejo towns, plus the city of CaviteMinor fighting or skirmishes: Imus and Bacoor towns;Decisive Filipino victory;Ramón Blanco, 1st Marquess of Peña Plata	Diego de los Ríos;At Binakayan: 300+ deaths, ≈3,000 more casualties	At Dalahican: Gregoria Montoya killed, ≈400-700 casualties;⁓100,000[2][note 1]	35,000 regulars & militiamen [3]	65,000+ armed peasants & volunteers;At Binakayan~500+ confirmed  deaths	(including 9 officers) ≈8,000 more casualties[7]	At Dalahican: 1,000+ casualties	Hundreds more captured in Cavite City;16,000-20,000[note 1]	At Binakayan	12,000-15,000	5,000-5,200 Spanish troops	1,600-1,612 Spanish Marines[4]	2 companies from 73rd Regiment	1 company of artillery	60 military engineers	2 naval warships	4 gunboats[5]	10,000+ native mercenaries and loyalists	At Dalahican	3,000-5,000	1,500[4]-3,500[6] from the 4th Battalion of Cazadores	4 large guns	3 bronze mortars	Several contingents from 73rd Native Regiment[6];Spanish Empire	Civil Guard (Philippines)
Battle of Zapote Bridge;13 June 1899;First Philippine Republic;Pío del Pilar	Artemio Ricarte	Guillermo Masangkay;Zapote, Las Piñas, Province of Manila, Philippines14°27′50.5″N 120°57′58.8″E﻿ / ﻿14.464028°N 120.966333°ECoordinates: 14°27′50.5″N 120°57′58.8″E﻿ / ﻿14.464028°N 120.966333°E;American victory;Henry Ware Lawton;~150 killed	375 wounded;4,000–5,000	6 field guns;14 killed	61 wounded;1,200	4 field guns	7 gunboats;United States
Battle of Manila Bay (1898);May 1, 1898;United States;George Dewey;Near Manila, Philippines;Decisive American victory;Patricio Montojo y Pasarón;1 dead (due to heatstroke)[5]	9 wounded	1 protected cruiser damaged;Engaged forces:[cn 1]	4 protected cruisers	2 gunboats	Unengaged forces:	1 revenue cutter	2 transports;77 dead	271 wounded[6]	2 protected cruisers sunk	5 unprotected cruisers sunk	1 transport sunk;Engaged forces:[cn 1]	2 protected cruisers	4 unprotected cruisers	1 gunboats	Unengaged forces:	1 cruiser	3 gunboats,	1 transport	Shore defenses	6 batteries	3 forts;Restoration (Spain)
Capture of Guam;June 20–21, 1898;United States;Henry Glass (admiral);Guam, Pacific Ocean;American victory;Juan Marina;none;1 cruiser	3 transports;54 captured;54 infantry	4 guns;Restoration (Spain)	Captaincy General of the Philippines
Battle of Las Guasimas;June 24, 1898;United States	Cuba;Joseph Wheeler	Demetrio Castillo Duany;Sevilla, near Santiago de Cuba, Cuba;U.S. victory[1][2][3][4][5];Antero Rubín;27 dead	52 wounded[6]:9;964 infantry[6]:9	3 field guns[6]:8	800 irregulars[7]:124;7 killed[8]:62	14 wounded;1,500 infantry[7]:125	2 field guns;Restoration (Spain)
Battle of El Caney;July 1, 1898;United States	Cuba;Henry Ware Lawton;El Caney, Cuba;American and Cuban victory[1];Joaquín Vara de Rey y Rubio;81 killed	360 wounded [1]:137;6,653 Americans[2]	3,000 Cubans[1]:134;38 killed	138 wounded	160 captured[2];520 regulars[2]	≈100 irregulars[3];Restoration (Spain)
Battle of San Juan Hill;July 1, 1898;United States;William Rufus Shafter	Joseph Wheeler;Near Santiago, Cuba20°01′15″N 75°47′58″W﻿ / ﻿20.02083°N 75.79944°WCoordinates: 20°01′15″N 75°47′58″W﻿ / ﻿20.02083°N 75.79944°W;American victory[1];Arsenio Linares y Pombo;144 killed[3]	1,024 wounded[3]	72 missing[3];8,412[3];114 killed[4]	366 wounded[4]	41 captured[4];521[4];Restoration (Spain)
Battle of Santiago de Cuba;July 3, 1898;United States;William T. Sampson	Winfield Scott Schley;Near Santiago de Cuba, Cuba;Decisive American victory;Pascual Cervera y Topete;1 dead	1 wounded[2];3 battleships	1 second class battleship	2 armored cruisers	2 armed yachts[1];343 dead	151 wounded	1,889 captured	Spanish squadron destroyed[2];4 armored cruisers	2 destroyers[2];Restoration (Spain)
Siege of Santiago;July 3–17, 1898;United States	Cuba;William Rufus Shafter	Nelson A. Miles	William T. Sampson	Calixto García;Santiago, Cuba;Decisive U.S./Cuban victory;José Toral y Velázquez;1,614 dead or wounded;13,000 infantry	4,000–6,000 guerrilleros[2]:195–196;2,000 dead or wounded[citation needed].	11,500 captured;13,500 infantry[2]:192;Restoration (Spain)
Battle of Yauco;May 8 – August 13, 1898;Spain	Puerto Rico;Manuel Macías y Casado;Puerto Rico, Atlantic Ocean;"Militarily inconclusive; Spain cedes Puerto Rico in accordance with the accords of the Treaty of Paris of 1898.[1] United States post-war occupation of Puerto Rico[1]";Nelson A. Miles	William T. Sampson;17 dead	88 wounded	324 captured	10,000 surrendered at the end of the campaign[2];Spain: 8,000	Puerto Rico: 10,000[2];5 dead	43 wounded[2];15,472 [2];United States
Battle of Manila (1898);13 August 1898;United States	Revolutionary Government of the Philippines (1898–1899);Wesley Merritt	George Dewey	Arthur MacArthur Jr.	Emilio Aguinaldo	Antonio Luna;Manila, Philippines;American-Filipino victory Spanish forces surrender the city to the Americans End of the Spanish–American War in the Philippines;Fermín Jáudenes	Basilio Augustín;6 killed;10,700	40,000;49 killed, 1 fort;13,000;Restoration (Spain)	Captaincy General of the Philippines
Battle of Omdurman;2 September 1898;United Kingdom of Great Britain and Ireland	Khedivate of Egypt;Herbert Kitchener, 1st Earl Kitchener;Omdurman, Khartoum, Sudan;Decisive British-Egyptian Victory;Abdallahi ibn Muhammad;47[1]–48[2] dead	382 wounded;8,200 British,	17,600 Sudanese and Egyptian soldiers;12,000 killed[1]	13,000 wounded	5,000 captured;52,000 warriors;Mahdist State
Battle of Manila (1899);February 4–5, 1899;United States;Elwell Stephen Otis	Arthur MacArthur Jr.	Thomas M. Anderson;Manila, Philippines;American victory;Emilio Aguinaldo	Antonio Luna;55 killed	204 wounded[2];19,000 U.S. troops	8,000 in Manila	11,000 outer defenses[1];238 killed	306 captured[2];15,000–40,000 Filipino troops (estimates vary)[1];First Philippine Republic
Battle of Caloocan;10 February 1899;United States;Arthur MacArthur Jr.;Caloocan, Philippines;American victory;Antonio Luna;;127 officers	3,185 soldiers[1]	1 protected cruiser	1 monitor;;5,000 soldiers;First Philippine Republic
Second Battle of Caloocan;February 22–24, 1899;United States;Arthur MacArthur Jr.;Caloocan, Philippines;American victory;Antonio Luna	Mariano Llanera;39[1];15,000–20,000 soldiers	1 monitor;500[1];5,000 soldiers;First Philippine Republic
Battle of Marilao River;March 27, 1899;United States;Irving Hale;Marilao, Bulacan, Philippines;American victory;Emilio Aguinaldo;14 dead,	65 wounded[1];Unknown;90 dead,	30 taken prisoner[1];5,000 soldiers;First Philippine Republic
Battle of Quingua;23 April 1899;United States;J. Franklin Bell	John M. Stotsenburg	Irving Hale;Quingua – now Plaridel, Bulacan, Philippines;1st Phase: Filipino Victory2nd Phase: American Victory;Gregorio del Pilar	Pablo Tecson;7 killed[1]	44 wounded[1];800 soldiers	4th Cavalry	1st Nebraskan Infantry	51st Iowa Infantry	Utah Artillery	1st South Dakota Infantry;13 killed[1];700–1,300 soldiers;First Philippine Republic
Battle of Calumpit;25-27 April 1899;United States;Arthur MacArthur Jr.	Loyd Wheaton	Irving Hale	Frederick Funston;Calumpit, Bulacan, Philippines;American victory;Antonio Luna	Gregorio del Pilar;700 killed[1]	(Philippine claim)	22 killed	127 wounded	(American claim);20th Kansas Volunteers	Utah Volunteer Light Artillery	1st Montana Volunteers	1st Nebraska Volunteers;200 killed[1];3,000 soldiers;First Philippine Republic
Battle of Elandslaagte;21 October 1899;United Kingdom of Great Britain and Ireland;John French, 1st Earl of Ypres	Ian Hamilton (British Army officer);Elandslaagte, KwaZulu-Natal, South Africa28°24′S 29°57′E﻿ / ﻿28.400°S 29.950°ECoordinates: 28°24′S 29°57′E﻿ / ﻿28.400°S 29.950°E;British victory;Johannes Hermanus Michiel Kock	Adolf Schiel;55 killed	205 wounded;3,500	18 guns[1];46 killed	105 wounded	181 missing or captured;1,000	3 guns[1];South African Republic
Battle of San Jacinto (1899);November 11, 1899;United States;Loyd Wheaton;San Jacinto, Pangasinan, Philippines;American victory;Manuel Tinio;8 killed	13 wounded;33rd USV Infantry Regiment;134 killed;1,200;First Philippine Republic
Battle of Modder River;28 November 1899;United Kingdom of Great Britain and Ireland;Paul Methuen, 3rd Baron Methuen;Modder River, Cape Colony;British victory;Piet Cronjé	Koos de la Rey;72 killed	372 wounded	7 missing[4];8,000	20 guns[1][2];75 killed or wounded[1];2,200-3,500	4 guns	2 pom pom guns[3];South African Republic	Orange Free State
Battle of Tirad Pass;December 2, 1899;United States;Peyton C. March;Tirad Pass, Ilocos Sur, Philippines;Strategic Filipino victoryTactical American victory Death of Gen. Gregorio del Pilar Filipino forces successfully delay the American advance;Gregorio del Pilar;2 killed	9 wounded[2][3];300[1];52 killed[1];60[1];First Philippine Republic
Battle of Magersfontein;11 December 1899;United Kingdom of Great Britain and Ireland;Paul Methuen, 3rd Baron Methuen	Andrew Wauchope;Magersfontein, Cape Colony, South AfricaCoordinates: 28°58′S 24°42′E﻿ / ﻿28.967°S 24.700°E;Boer victory;Piet Cronjé	Koos de la Rey;948 killed or wounded[1];14,964	27 guns[1];236 killed or wounded[3];8,500	5 guns	3 machine guns[2];South African Republic	Orange Free State
Battle of Paye;December 19, 1899;First Philippine Republic;Pío del Pilar	Licerio Gerónimo;San Mateo, Manila (now Rizal), Philippines;Initial Filipino victory Death of General Henry Ware Lawton Americans' 29th Battalion successfully cross the river at 11 am Filipino forces retreat from San Mateo;Henry Ware Lawton	James R. Lockett;40 killed	125 wounded[1];1,000;11 killed	13 wounded;Unknown;United States
Battle of Spion Kop;23–24 January 1900;United Kingdom of Great Britain and Ireland;Redvers Buller	Charles Warren	Edward Woodgate	Neville Lyttelton	Alexander Thorneycroft;Spioenkop, 38 km west-southwest of LadysmithCoordinates: 28°39′0″S 29°30′59″E﻿ / ﻿28.65000°S 29.51639°E;Boer victory;Louis Botha	Schalk Willem Burger;243 killed	1,250 wounded[2];20,000	36 field guns;68 killed	267 wounded[2];8,000	4 field guns	2 machine guns[1];South African Republic
Battle of Paardeberg;18–27 February 1900;United Kingdom of Great Britain and Ireland	Canada;Frederick Roberts, 1st Earl Roberts	Herbert Kitchener, 1st Earl Kitchener	John French, 1st Earl of Ypres	Thomas Kelly-Kenny;Paardeberg Drift, Orange Free State28°58′57″S 25°5′35″E﻿ / ﻿28.98250°S 25.09306°E;British Empire victory;Piet Cronjé	Christiaan de Wet;348 killed	942 wounded[1];15,000 men;350 killed and wounded	4,019 captured[1];7,000 men;South African Republic	Orange Free State
Battle of Diamond Hill;11–12 June 1900;British Empire	United Kingdom	Canada	Queensland	Victoria (Australia)	Western Australia	South Australia	Tasmania	New South Wales;Frederick Roberts, 1st Earl Roberts	John French, 1st Earl of Ypres	Ian Hamilton (British Army officer)	Reginald Pole-Carew (British Army officer);Diamond Hill, near Pretoria, Transvaal25°47′S 28°28′E﻿ / ﻿25.783°S 28.467°ECoordinates: 25°47′S 28°28′E﻿ / ﻿25.783°S 28.467°E;British victory;Louis Botha	Koos de la Rey;28 killed and 145 wounded[1];20,000 men and 83 guns[1];about 30 killed and wounded	Several captured[1];up to 6,000 men and 30 guns[1];South African Republic	Orange Free State
Battle of Elands River (1900);4–16 August 1900;British Empire	United Kingdom	Queensland	Victoria (Australia)	Western Australia	Tasmania	Company rule in Rhodesia	New South Wales	Canada;Walter Tunbridge;Brakfontein Drift, Transvaal;British victory Boer attack repulsed British garrison relieved;Koos de la Rey;12 soldiers killed and 36 wounded	4 civilians killed and 15 wounded;297 Australians	201 Rhodesians	3 Canadians	3 Britons;Unknown;2,000 – 3,000;South African Republic
Siege of Ladysmith;2 November 1899 – 28 February 1900;United Kingdom of Great Britain and Ireland;George White (British Army officer);Ladysmith, Natal, South Africa28°33.6′S 29°46.8′E﻿ / ﻿28.5600°S 29.7800°ECoordinates: 28°33.6′S 29°46.8′E﻿ / ﻿28.5600°S 29.7800°E;British victory;Piet Joubert	Louis Botha	Christiaan de Wet;c. 850 killed and wounded	800 prisoners;12,500;52+ killed	Total casualties unknown;max 21,000 men;South African Republic	Orange Free State
Siege of Mafeking;13 October 1899 – 17 May 1900;United Kingdom of Great Britain and Ireland;Robert Baden-Powell, 1st Baron Baden-Powell	Bryan Mahon;Mafikeng, South Africa;British victory Mafeking relieved;Piet Cronjé;812;1,500;2,000;8,000;South African Republic
Battle of Rooiwal;11 April 1902;United Kingdom of Great Britain and Ireland;Robert Kekewich	Ian Hamilton (British Army officer)	Henry Rawlinson, 1st Baron Rawlinson;Rooiwal, South African Republic25°33′6″S 28°12′11″E﻿ / ﻿25.55167°S 28.20306°ECoordinates: 25°33′6″S 28°12′11″E﻿ / ﻿25.55167°S 28.20306°E;British victory;Ferdinandus Jacobus Potgieter	Jan Kemp (general);c.70 killed and wounded;3,000;230, of whom: 50 dead, 130 wounded, 50 men, 3 field guns and a pom pom captured[2];1,700[1];South African Republic
Battle of Dilam;27 January 1903;Emirate of Jabal Shammar;Abd al-Aziz ibn Mutib;Ad-Dilam, Arabia;Saudi victory;Ibn Saud;250;4,000;160;3,500;Emirate of Nejd and Hasa
Battle of Krushevo;12 August 1903;Internal Macedonian Revolutionary Organization;Pitu Guli;Kruševo, Ottoman Empire;Ottoman victory;Bahri Pasha;40 killed;370;Unknown;2,000;Ottoman Empire
Battle of Port Arthur;8–9 February 1904;Empire of Japan;Tōgō Heihachirō	Dewa Shigetō	Nogi Maresuke;Near Port Arthur, Manchuria, China;"Inconclusive;[1] see Outcome section";Oskar Starck	Yevgeni Ivanovich Alekseyev	Wilgelm Vitgeft;90 men and slight damage;6 pre-dreadnought battleships	9 armoured cruisers	10 destroyers;150 casualties	7 ships damaged;7 pre-dreadnought battleships	5 protected cruisers, with escorts;Russian Empire
Battle of Yalu River (1904);30 April – 1 May 1904;Empire of Japan;Kuroki Tamemoto;Near Wiju, border of Korea and China;Japanese victory;Mikhail Zasulich	Nikolai Kashtalinsky;1,036 killed, wounded or missing;42,000;2,172 casualties	593 killed	1,101 wounded	478 missing[1];about 25,000;Russian Empire
Battle of Nanshan;24–26 May 1904;Empire of Japan;Oku Yasukata;North of Port Arthur, Manchuria;Japanese victory;Anatoly Stessel	Alexander Fok;6,198 killed, wounded or captured;35,500;182 killed	836 wounded	598 Missing in action[1];3,800;Russian Empire
Battle of Te-li-Ssu;14–15 June 1904;Empire of Japan;Oku Yasukata;North of Port Arthur, Manchuria;Japanese victory;Georg von Stackelberg;217 killed	946 wounded;40,000;2,000-5,000 killed and wounded	665 missing[1];35,000-50,000;Russian Empire
Battle of Bekeriyah (1904);June 15, 1904;Rashidi dynasty	Ottoman Empire;Abd al-Aziz ibn Mutib;Bekeriyah, Qassim region, ArabiaCoordinates: 26°15′00″N 43°46′00″E﻿ / ﻿26.25°N 43.76667°E;Emirate of Riyadh victory;Ibn Saud;300-500	1,000-1,500 Turkish killed[1];20,000;1,000;12,000;Emirate of Nejd and Hasa
